periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2011-01-01,105950.415,137730.3799999999,55957.33900000002,2889.54,71818.33400000002,114894.2940000001,60890.927,220715.7929999999,81499.37999999999,155531.2660000001,233236.9700000001,23631.132,32582.029,1248.96,1298576.759
2011-02-01,95631.15899999997,139808.6269999999,51306.34700000001,3339.34,78421.27900000005,111749.47,57823.89500000002,202955.5789999999,78907.05599999998,143218.2819999999,283461.3700000001,24331.614,38989.885,1148.86,1311092.763
2011-03-01,116560.021,146819.1590000001,50576.17799999998,3466.59,78679.56600000002,119050.683,59893.73799999998,212629.4209999999,82878.60400000001,167608.73,301485.2199999997,26500.40900000001,44643.78999999999,1090.983,1411883.092
2011-04-01,126575.304,144261.2400000001,45988.16900000004,3482.08,75926.52499999998,117556.701,59897.999,207497.521,83355.49000000001,171568.89,298785.1059999999,26589.55699999999,44512.53700000001,1018.559,1407015.678
2011-05-01,130529.224,144015.7940000001,40661.49799999998,3428.7,77643.101,120521.413,63019.99,217664.928,85235.08799999995,181165.645,329333.99,27063.392,46515.01600000003,982.3500000000001,1467780.129
2011-06-01,125348.141,137093.1399999999,37025.202,3254.72,76433.09699999999,114050.94,57895.05900000002,205085.431,82767.296,162376.4859999999,329282.3050000002,26693.631,46613.17099999999,887.326,1404805.945
2011-07-01,115670.201,137629.179,40619.885,2459.37,75022.91,119925.941,64270.06600000001,194071.2339999999,82479.57000000001,162868.6730000001,338499.9770000001,26907.384,46506.235,816.917,1407747.542
2011-08-01,118512.708,142972.3209999999,44453.673,2567.35,75191.7180000001,124992.86,62639.15299999998,206738.155,87235.62299999999,168464.879,316381.6880000002,28363.702,47854.10800000001,966.5990000000002,1427334.537
2011-09-01,124101.124,141821.1440000002,45388.327,2613.34,74535.16699999999,121553.184,58945.821,212911.721,84923.55399999997,184163.664,288189.1250000001,26716.441,46889.14999999998,907.5500000000001,1413659.312
2011-10-01,117499.9639999999,142408.32,48954.37500000001,2458.81,74752.27400000002,124479.489,61299.029,221509.509,87844.204,181275.742,318643.676,26537.632,45781.66200000001,974.477,1454419.163
2011-11-01,112284.5549999999,143162.468,52600.21600000003,2843.7,77829.67400000003,120009.53,62077.072,214540.82,87132.02500000001,178671.2119999999,306443.0059999999,26811.749,46698.32999999999,1119.625,1432223.982
2011-12-01,108497.5,139474.9069999999,55322.40200000002,3155.7,61179.044,117545.261,64552.191,224971.1460000001,82645.14199999998,179743.496,282989.735,24323.684,41308.95000000001,1194.83,1386903.988
2012-01-01,110652.148,143725.1450000001,57054.13900000003,3937.4,63021.52699999998,122457.768,57536.277,223533.0730000001,78911.98500000007,166233.587,221642.1749999999,23284.236,37127.43000000001,1056.561,1310173.451
2012-02-01,101523.3740000001,140884.044,53425.17099999999,4239.3,71818.87000000001,117111.205,56090.97399999999,214054.3,77755.59500000003,155559.6959999999,291620.968,23438.497,39409.83300000001,1033.391,1347965.218
2012-03-01,110264.3110000001,150939.5880000001,55687.028,5108.4,81992.71499999997,128422.57,57808.70499999999,222291.4790000001,90345.85800000004,174067.872,327614.7820000002,27449.63100000001,45035.74700000002,1012.043,1478040.729
2012-04-01,122399.81,139911.382,45162.37800000002,4341.400000000001,75408.92099999997,116482.023,53956.30500000001,208648.2959999999,82709.05300000004,175870.7920000001,312235.078,25708.464,42651.38200000001,925.6630000000001,1406410.947
2012-05-01,127847.286,147946.1359999999,41397.39900000001,4563.4,78955.71599999996,119326.239,55506.72599999999,218000.7980000001,84138.87700000004,174324.7039999999,304339.8020000001,26004.789,43175.114,855.106,1426382.092
2012-06-01,131092.3730000001,140622.117,36371.99900000001,3527.1,77792.37499999991,116980.566,56072.14600000001,200426.914,84440.73299999999,168891.971,327050.664,26158.899,43585.79900000001,943.816,1413957.472000001
2012-07-01,118527.146,142255.3619999999,40676.59799999998,3577.4,78805.34300000007,119480.973,63414.29100000001,200763.716,83408.06999999999,163265.15,287849.954,26107.50000000001,45896.46699999999,923.811,1374951.781
2012-08-01,112562.523,147614.3149999999,44954.948,3627.7,81556.768,122022.097,58842.43200000001,206911.558,89546.80700000002,163501.402,295691.1170000002,27073.416,47347.05299999999,1022.812,1402274.948
2012-09-01,106370.473,139951.47,43666.04800000004,3451.3,78381.84999999996,120902.374,59523.55999999999,214811.8429999999,91394.11399999999,179277.506,293425.3799999998,25423.57,44405.01200000001,1048.896,1402033.396
2012-10-01,100985.653,145860.854,47865.07299999999,3780.1,81350.52699999999,123553.5279999999,60873.39499999999,218967.484,91263.95399999998,183004.192,320131.5740000001,26006.12,46202.941,967.3529999999998,1450812.748
2012-11-01,97192.60399999993,148007.272,52500.94100000001,3852.6,82925.344,119890.652,58102.434,217144.703,93429.47500000005,170101.548,304459.099,26544.521,46279.82700000002,1093.875,1421524.895
2012-12-01,90477.20300000001,138250.824,56532.72900000002,3903,66724.946,115209.472,58241.21200000001,221076.5820000001,84320.24699999993,171829.59,258411.6240000002,23048.113,40481.27800000001,1002.067,1329508.887
2013-01-01,89663.82999999999,146455.0799999999,56733.31200000001,4471.700000000001,67760.45700000002,113097.428,58676.899,210401.5310000002,85614.54599999993,161658.962,229062.624,21992.17600000001,33441.91800000001,1025.487,1280055.95
2013-02-01,80628.38499999998,138687.529,51574.17799999999,4198.6,67135.95800000001,108665.4,54761.76699999999,203634.4810000001,78278.21999999997,157134.926,236981.295,22044.52000000001,40603.97700000001,943.888,1245273.124
2013-03-01,91959.17600000001,147541.9449999999,54109.464,4898.700000000001,78501.44499999993,115681.79,59586.35599999999,221316.3309999998,88167.425,175531.398,302002.0219999999,25867.31399999999,45425.58400000001,846.191,1411435.140999999
2013-04-01,112977.872,150937.941,44147.33799999998,4560.900000000001,79810.98199999993,111882.161,63726.541,214369.8750000002,88094.94800000003,170157.164,280039.7899999999,25886.283,44145.283,849.129,1391586.207
