id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
BTC,BTC,BTC,Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btc.svg,active,20116.20888633,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,19080818,21000000,383833720610,0.4166,461,91093,10137,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2017-01-06T00:00:00Z,1,0,67598.03118880,2021-11-08T00:00:00Z,41277430496.51,-250.08512868,-0.0123,2786981874.68,0.0724,-4752114252.28,-0.0122
ETH,ETH,ETH,Ethereum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eth.svg,active,1093.74742079,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,121349119,,132725285784,0.1441,531,90694,71402,2015-08-07T00:00:00Z,2015-08-07T00:00:00Z,2018-08-29T00:00:00Z,2,0,4811.59320433,2021-11-08T00:00:00Z,21916477377.87,-58.07688339,-0.0504,1827760909.42,0.0910,-7034719155.42,-0.0503,ETH
USDT,USDT,USDT,Tether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdt.svg,active,1.00144176,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,66415102879,,66510857290,0.0722,471,85613,30180,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2018-08-29T00:00:00Z,3,0,1.09104404,2017-12-23T00:00:00Z,82839071963.31,0.00060181242,0.0006,2790223180.66,0.0349,-370191275.87,-0.0055,ETH
USDC,USDC,USDC,USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdc.svg,active,1.00377327,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,55817689312,55817727415,56028304274,0.0608,316,8574,9645,2015-11-18T00:00:00Z,2015-11-18T00:00:00Z,2018-10-26T00:00:00Z,4,0,1.03120653,2019-05-02T00:00:00Z,5656053603.88,0.0016412291,0.0016,510655250.80,0.0992,91609614.81,0.0016,ETH
BNB,BNB,BNB,Binance Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bnb.svg,active,219.64329892,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,163276975,163276975,35862693346,0.0389,284,24191,1060306,2017-07-14T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,5,0,677.11911801,2021-05-03T00:00:00Z,1568664998.15,-10.44343539,-0.0454,-7295456.24,-0.0046,-1705172536.02,-0.0454,BNB
BUSD,BUSD,BUSD,Binance USD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BUSD.png,active,1.00250876,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,17547224392,17547224392,17591246110,0.0191,172,10851,29541,2017-07-09T00:00:00Z,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,6,0,1.01174509,2020-03-12T00:00:00Z,10666934103.26,0.0012411330,0.0012,1605321639.24,0.1772,185541480.33,0.0107,ETH
XRP,XRP,XRP,XRP,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XRP.svg,active,0.32401585,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,48343101197,99989535142,15663931252,0.0170,309,3009,120,2013-05-09T00:00:00Z,2013-05-09T00:00:00Z,2018-08-29T00:00:00Z,7,0,2.75932484,2018-01-07T00:00:00Z,1448892414.11,-0.013201995,-0.0391,105559853.71,0.0786,-638225383.78,-0.0391,
ADA,ADA,ADA,Cardano,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ada.svg,active,0.46205891,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,33820262544,45000000000,15626953729,0.0170,182,1028,665,2017-10-01T00:00:00Z,2017-11-22T00:00:00Z,2018-08-29T00:00:00Z,8,0,2.96753903,2021-09-03T00:00:00Z,926457885.34,-0.013305660,-0.0280,58800090.67,0.0678,-450000929.04,-0.0280,
SOL,SOL,SOL,Solana,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/SOL2.jpg,active,32.95314228,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,342899738,508180964,11299623852,0.0123,138,3328,2374,2019-06-07T00:00:00Z,2020-04-10T00:00:00Z,2020-04-07T00:00:00Z,9,0,259.02937388,2021-11-06T00:00:00Z,2769634242.24,-2.85163936,-0.0796,51369876.69,0.0189,-973135409.27,-0.0793,SOL
DOGE,DOGE,DOGE,Dogecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/doge.svg,active,0.068188721,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,132670764300,,9046649715,0.0098,264,3237,1042,2014-01-21T00:00:00Z,2014-01-21T00:00:00Z,2018-09-12T00:00:00Z,10,0,0.68882970,2021-05-07T00:00:00Z,718334451.30,0.00082936372,0.0123,63496583.02,0.0970,110032319.09,0.0123,
DOT,DOT,DOT,Polkadot,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DOT.svg,active,6.92865239,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,1126789126,1207738259,7807130166,0.0085,166,614,3,2018-12-12T00:00:00Z,2019-08-27T00:00:00Z,2019-08-28T00:00:00Z,11,0,366.71198282,2020-08-12T00:00:00Z,629575971.96,-0.50170418,-0.0675,105479495.67,0.2013,-562847129.67,-0.0672,
DAI,DAI,DAI,Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DAI.svg,active,1.00261536,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,6332535344,6332535344,6349097214,0.0069,219,2882,1672,2017-12-22T00:00:00Z,2017-12-22T00:00:00Z,2018-09-07T00:00:00Z,12,0,1.15260983,2018-04-07T00:00:00Z,297432788.24,0.00051687857,0.0005,-71815842.97,-0.1945,82605607.87,0.0132,ETH
TRX,TRX,TRX,TRON,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TRX.svg,active,0.064666360,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,92493084010,101900409184,5981191063,0.0065,249,2292,16888,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z,2018-08-29T00:00:00Z,13,0,0.20714468,2018-01-04T00:00:00Z,1194636794.52,-0.0016682653,-0.0251,-191535409.99,-0.1382,-154402658.26,-0.0252,TRX
SHIB,SHIB,SHIB,Shiba Inu,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SHIB.png,active,0.000010111427,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,557940991915562,999991463710543,5641579758,0.0061,149,380,44,2020-07-31T00:00:00Z,2020-07-31T00:00:00Z,2021-02-01T00:00:00Z,14,0,0.000079561686,2021-10-27T00:00:00Z,662228541.30,-0.000000081678793,-0.0080,92914015.84,0.1632,-44946456.73,-0.0079,ETH
LEO,LEO,LEO,UNUS SED LEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/leotoken.png,active,5.95089088,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,935182761,985239504,5565170564,0.0060,34,83,1,2019-05-20T00:00:00Z,2019-05-20T00:00:00Z,2019-05-20T00:00:00Z,15,0,7.48922574,2022-02-08T00:00:00Z,4051322.46,0.20692081,0.0360,-1483208.16,-0.2680,193394545.44,0.0360,ETH
WBTC,WBTC,WBTC,Wrapped Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WBTC.png,active,20112.27945954,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,263029,263029,5290109335,0.0057,116,1278,155,2019-01-29T00:00:00Z,2019-01-29T00:00:00Z,2019-02-14T00:00:00Z,16,0,67605.45510699,2021-11-08T00:00:00Z,292889114.13,-193.95963071,-0.0096,50032156.86,0.2060,-80461021.42,-0.0150,ETH
HEX,HEX,HEX,HEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HEX.png,active,0.037103618,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,135596915832,642118655858,5031136216,0.0055,40,137,10,2019-12-13T00:00:00Z,2020-05-18T00:00:00Z,2020-03-11T00:00:00Z,17,1,0.48712123,2021-09-18T00:00:00Z,7694619.85,-0.0017139401,-0.0442,-2267694.60,-0.2276,-235036335.50,-0.0446,ETH
